"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10057","test_01_login_success[13800001001--\u7528\u6237\u540d\u6216\u5bc6\u7801\u4e0d\u80fd\u4e3a\u7a7a]","script","Mon May 18 14:19:12 UTC 2026","broken","Mon May 18 14:19:22 UTC 2026","TestLogin","test_01_login_ex","",""
"","5277","test_01_register_success","script","Mon May 18 14:19:46 UTC 2026","passed","Mon May 18 14:19:51 UTC 2026","TestLogin","test_02_register","",""
"","5062","test_02_register_fail_phone_error","script","Mon May 18 14:20:03 UTC 2026","failed","Mon May 18 14:20:08 UTC 2026","TestLogin","test_02_register","",""
"","0","test_01_login_success","script","Mon May 18 14:18:35 UTC 2026","broken","Mon May 18 14:18:35 UTC 2026","TestLogin","test_01_login_01","",""
"","0","test_01_open_account_success","script","Mon May 18 14:20:10 UTC 2026","broken","Mon May 18 14:20:10 UTC 2026","TestOpenAccount","test_03_open_account","",""
"","10056","test_01_login_success[13800001001-123456-\u5bc6\u7801\u9519\u8bef]","script","Mon May 18 14:18:56 UTC 2026","broken","Mon May 18 14:19:06 UTC 2026","TestLogin","test_01_login_ex","",""
"","0","test_01_login_success[13800701001-Aa123456-\u7528\u6237\u4e0d\u5b58\u5728]","script","Mon May 18 14:19:42 UTC 2026","broken","Mon May 18 14:19:42 UTC 2026","TestLogin","test_01_login_ex_01","",""
"","10057","test_02_login_fail_pwd_error","script","Mon May 18 14:18:23 UTC 2026","broken","Mon May 18 14:18:33 UTC 2026","TestLogin","test_01_login","",""
"","0","test_01_login_success[13800001001-123456-\u5bc6\u7801\u9519\u8bef]","script","Mon May 18 14:19:42 UTC 2026","broken","Mon May 18 14:19:42 UTC 2026","TestLogin","test_01_login_ex_01","",""
"","10069","test_01_login_success[13800701001-Aa123456-\u7528\u6237\u4e0d\u5b58\u5728]","script","Mon May 18 14:19:29 UTC 2026","broken","Mon May 18 14:19:39 UTC 2026","TestLogin","test_01_login_ex","",""
"","10068","test_01_login_success[13800001001-Aa123456-13800001001]","script","Mon May 18 14:18:39 UTC 2026","broken","Mon May 18 14:18:49 UTC 2026","TestLogin","test_01_login_ex","",""
"","0","test_01_login_success[13800001001--\u7528\u6237\u540d\u6216\u5bc6\u7801\u4e0d\u80fd\u4e3a\u7a7a]","script","Mon May 18 14:19:42 UTC 2026","broken","Mon May 18 14:19:42 UTC 2026","TestLogin","test_01_login_ex_01","",""
"","0","test_02_login_fail_pwd_error","script","Mon May 18 14:18:35 UTC 2026","broken","Mon May 18 14:18:35 UTC 2026","TestLogin","test_01_login_01","",""
"测试后台登录成功","10275","test_01_back_login_success","script","Mon May 18 14:20:39 UTC 2026","broken","Mon May 18 14:20:50 UTC 2026","TestBackLogin","test_05_back_login","",""
"","0","test_01_open_account_success","script","Mon May 18 14:20:27 UTC 2026","broken","Mon May 18 14:20:27 UTC 2026","TestOpenAccount","test_03_open_account_01","",""
"","0","test_01_credit_review_success","script","Mon May 18 14:20:52 UTC 2026","broken","Mon May 18 14:20:52 UTC 2026","TestCreditReview","test_06_credit_review","",""
"","0","test_01_login_success[13800001001-Aa123456-13800001001]","script","Mon May 18 14:19:42 UTC 2026","broken","Mon May 18 14:19:42 UTC 2026","TestLogin","test_01_login_ex_01","",""
"","0","test_01_credit_application_success","script","Mon May 18 14:20:27 UTC 2026","broken","Mon May 18 14:20:27 UTC 2026","TestCreditApplication","test_04_credit_application","",""
"","10128","test_01_login_success","script","Mon May 18 14:18:06 UTC 2026","broken","Mon May 18 14:18:16 UTC 2026","TestLogin","test_01_login","",""
