"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_02_login_fail_pwd_error","script","Mon May 18 14:31:43 UTC 2026","broken","Mon May 18 14:31:43 UTC 2026","TestLogin","test_01_login_01","",""
"","0","test_01_login_success","script","Mon May 18 14:31:43 UTC 2026","broken","Mon May 18 14:31:43 UTC 2026","TestLogin","test_01_login_01","",""
"","0","test_01_login_success[13800701001-Aa123456-\u7528\u6237\u4e0d\u5b58\u5728]","script","Mon May 18 14:36:20 UTC 2026","broken","Mon May 18 14:36:20 UTC 2026","TestLogin","test_01_login_ex_01","",""
"","0","test_01_login_success[13800001001--\u7528\u6237\u540d\u6216\u5bc6\u7801\u4e0d\u80fd\u4e3a\u7a7a]","script","Mon May 18 14:32:19 UTC 2026","broken","Mon May 18 14:32:19 UTC 2026","TestLogin","test_01_login_ex","",""
"","10044","test_01_login_success[13800001001-Aa123456-13800001001]","script","Mon May 18 14:31:49 UTC 2026","broken","Mon May 18 14:31:59 UTC 2026","TestLogin","test_01_login_ex","",""
"","0","test_01_open_account_success","script","Mon May 18 14:37:58 UTC 2026","broken","Mon May 18 14:37:58 UTC 2026","TestOpenAccount","test_03_open_account","",""
"","10030","test_02_login_fail_pwd_error","script","Mon May 18 14:31:31 UTC 2026","broken","Mon May 18 14:31:41 UTC 2026","TestLogin","test_01_login","",""
"","0","test_01_login_success[13800701001-Aa123456-\u7528\u6237\u4e0d\u5b58\u5728]","script","Mon May 18 14:34:19 UTC 2026","broken","Mon May 18 14:34:19 UTC 2026","TestLogin","test_01_login_ex","",""
"","0","test_01_login_success[13800001001--\u7528\u6237\u540d\u6216\u5bc6\u7801\u4e0d\u80fd\u4e3a\u7a7a]","script","Mon May 18 14:36:20 UTC 2026","broken","Mon May 18 14:36:20 UTC 2026","TestLogin","test_01_login_ex_01","",""
"","5007","test_01_register_success","script","Mon May 18 14:37:35 UTC 2026","failed","Mon May 18 14:37:40 UTC 2026","TestLogin","test_02_register","",""
"","0","test_01_open_account_success","script","Mon May 18 14:38:15 UTC 2026","broken","Mon May 18 14:38:15 UTC 2026","TestOpenAccount","test_03_open_account_01","",""
"","10072","test_01_login_success","script","Mon May 18 14:31:11 UTC 2026","broken","Mon May 18 14:31:21 UTC 2026","TestLogin","test_01_login","",""
"","0","test_01_login_success[13800001001-Aa123456-13800001001]","script","Mon May 18 14:36:20 UTC 2026","broken","Mon May 18 14:36:20 UTC 2026","TestLogin","test_01_login_ex_01","",""
"","0","test_01_login_success[13800001001-123456-\u5bc6\u7801\u9519\u8bef]","script","Mon May 18 14:36:20 UTC 2026","broken","Mon May 18 14:36:20 UTC 2026","TestLogin","test_01_login_ex_01","",""
"","4863","test_02_register_fail_phone_error","script","Mon May 18 14:37:51 UTC 2026","passed","Mon May 18 14:37:56 UTC 2026","TestLogin","test_02_register","",""
"","0","test_01_credit_application_success","script","Mon May 18 14:38:15 UTC 2026","broken","Mon May 18 14:38:15 UTC 2026","TestCreditApplication","test_04_credit_application","",""
"","10037","test_01_login_success[13800001001-123456-\u5bc6\u7801\u9519\u8bef]","script","Mon May 18 14:32:07 UTC 2026","broken","Mon May 18 14:32:17 UTC 2026","TestLogin","test_01_login_ex","",""
"","0","test_01_credit_review_success","script","Mon May 18 14:38:41 UTC 2026","broken","Mon May 18 14:38:41 UTC 2026","TestCreditReview","test_06_credit_review","",""
"测试后台登录成功","10302","test_01_back_login_success","script","Mon May 18 14:38:28 UTC 2026","broken","Mon May 18 14:38:39 UTC 2026","TestBackLogin","test_05_back_login","",""
